Site4,Date,Source,Max Temp,Min Temp,Avg Temp,HDDs,CDDs,Precipitation Water Equiv,Snowfall,Snow-Ice Depth
KROC,01-01-11,NCDC,56,42,49,16,0,0.16,0,1
KROC,01-02-11,NCDC,42,23,32.5,32.5,0,1.00E-04,0.6,0
KROC,01-03-11,NCDC,31,22,26.5,38.5,0,1.00E-04,1.00E-03,0
KROC,01-04-11,NCDC,37,27,32,33,0,0.02,0.4,0
KROC,01-05-11,NCDC,31,17,24,41,0,0.04,1,1
KROC,01-06-11,NCDC,27,13,20,45,0,0.04,0.5,1
KROC,01-07-11,NCDC,27,15,21,44,0,0.01,0.2,1
KROC,01-08-11,NCDC,27,16,21.5,43.5,0,0.05,2.9,4
KROC,01-09-11,NCDC,25,19,22,43,0,0.03,1.1,4
KROC,01-10-11,NCDC,25,16,20.5,44.5,0,1.00E-04,1.00E-03,3
KROC,01-11-11,NCDC,25,19,22,43,0,0.16,2,2
KROC,01-12-11,NCDC,22,19,20.5,44.5,0,0.44,7.9,6
KROC,1-13-11,NCDC,20,8,14,51,0,0.03,1.3,10
KROC,1-14-11,NCDC,26,10,18,47,0,0.01,0.8,9
KROC,1-15-11,NCDC,30,17,23.5,41.5,0,0.06,1.1,8
KROC,1-16-11,NCDC,25,11,18,47,0,0.06,1.4,8
KROC,1-17-11,NCDC,26,-7,9.5,55.5,0,1.00E-04,0.1,6
KROC,1-18-11,NCDC,43,25,34,31,0,0.1,1.00E-03,6
KROC,1-19-11,NCDC,33,23,28,37,0,0.06,1,4
KROC,1-20-11,NCDC,23,11,17,48,0,0.07,0.7,4
KROC,1-21-11,NCDC,21,11,16,49,0,0.07,0.9,5
KROC,1-22-11,NCDC,17,8,12.5,52.5,0,0.02,0.3,5
KROC,1-23-11,NCDC,15,-8,3.5,61.5,0,0.1,3.9,6
KROC,1-24-11,NCDC,19,-8,5.5,59.5,0,0.03,0.6,6
KROC,1-25-11,NCDC,34,19,26.5,38.5,0,0.03,0.3,6
KROC,1-26-11,NCDC,33,27,30,35,0,1.00E-04,0.3,5
KROC,1-27-11,NCDC,32,25,28.5,36.5,0,0.02,1.2,6
KROC,1-28-11,NCDC,30,24,27,38,0,1.00E-04,0.2,6
KROC,1-29-11,NCDC,27,21,24,41,0,0.02,0.2,6
KROC,1-30-11,NCDC,27,15,21,44,0,1.00E-04,0.6,6
KROC,1-31-11,NCDC,18,1,9.5,55.5,0,0.01,0.2,6
KROC,02-01-11,NCDC,22,12,17,48,0,0.12,1.9,6
KROC,02-02-11,NCDC,29,17,23,42,0,0.49,5.6,8
KROC,02-03-11,NCDC,26,6,16,49,0,1.00E-04,0.2,10
KROC,02-04-11,NCDC,29,10,19.5,45.5,0,0,0,8
KROC,02-05-11,NCDC,34,15,24.5,40.5,0,0.27,3.3,10
KROC,02-06-11,NCDC,32,27,29.5,35.5,0,1.00E-04,1.00E-03,10
KROC,02-07-11,NCDC,36,29,32.5,32.5,0,0.14,1.4,9
KROC,02-08-11,NCDC,29,8,18.5,46.5,0,0.04,1.4,9
KROC,02-09-11,NCDC,26,6,16,49,0,1.00E-04,1.00E-03,9
KROC,02-10-11,NCDC,16,3,9.5,55.5,0,1.00E-04,0.1,8
KROC,02-11-11,NCDC,26,-4,11,54,0,0,0,8
KROC,02-12-11,NCDC,32,17,24.5,40.5,0,0.03,1,8
KROC,2-13-11,NCDC,45,16,30.5,34.5,0,0.03,0.4,8
KROC,2-14-11,NCDC,48,22,35,30,0,0.02,1.00E-03,6
KROC,2-15-11,NCDC,25,12,18.5,46.5,0,0,0,5
KROC,2-16-11,NCDC,44,17,30.5,34.5,0,1.00E-04,0,5
KROC,2-17-11,NCDC,55,27,41,24,0,0.04,0,4
KROC,2-18-11,NCDC,55,38,46.5,18.5,0,1.00E-04,0,2
KROC,2-19-11,NCDC,38,18,28,37,0,0.13,5.3,1
KROC,2-20-11,NCDC,30,15,22.5,42.5,0,0.17,2.2,4
KROC,2-21-11,NCDC,23,13,18,47,0,0.08,0.9,3
KROC,2-22-11,NCDC,20,5,12.5,52.5,0,1.00E-04,1.00E-03,2
KROC,2-23-11,NCDC,35,2,18.5,46.5,0,0,0,2
KROC,2-24-11,NCDC,38,17,27.5,37.5,0,0.01,1.00E-03,2
KROC,2-25-11,NCDC,32,20,26,39,0,0.5,7.5,3
KROC,2-26-11,NCDC,30,14,22,43,0,0.1,1.5,8
KROC,2-27-11,NCDC,38,27,32.5,32.5,0,0.08,1,10
KROC,2-28-11,NCDC,44,28,36,29,0,0.51,0,3
KROC,03-01-11,NCDC,37,20,28.5,36.5,0,0,0,3
KROC,03-02-11,NCDC,39,17,28,37,0,1.00E-04,0.2,2
KROC,03-03-11,NCDC,26,8,17,48,0,1.00E-04,1.00E-03,2
KROC,03-04-11,NCDC,43,23,33,32,0,0.04,0,2
KROC,03-05-11,NCDC,50,40,45,20,0,0.32,0,1
KROC,03-06-11,NCDC,50,23,36.5,28.5,0,0.45,5.5,1
KROC,03-07-11,NCDC,32,19,25.5,39.5,0,1.00E-04,1.00E-03,5
KROC,03-08-11,NCDC,38,17,27.5,37.5,0,0,0,4
KROC,03-09-11,NCDC,41,28,34.5,30.5,0,0.25,1.00E-03,3
KROC,03-10-11,NCDC,50,40,45,20,0,0.38,0,0
KROC,03-11-11,NCDC,49,32,40.5,24.5,0,0.06,1.8,0
KROC,03-12-11,NCDC,43,33,38,27,0,1.00E-04,1.00E-03,1
KROC,3-13-11,NCDC,38,31,34.5,30.5,0,1.00E-04,0.1,0
KROC,3-14-11,NCDC,35,26,30.5,34.5,0,0.02,0.4,0
KROC,3-15-11,NCDC,51,22,36.5,28.5,0,0.01,0,0
KROC,3-16-11,NCDC,45,34,39.5,25.5,0,0.07,0,0
KROC,3-17-11,NCDC,63,34,48.5,16.5,0,0,0,0
KROC,3-18-11,NCDC,65,37,51,14,0,0,0,0
KROC,3-19-11,NCDC,39,29,34,31,0,0,0,0
KROC,3-20-11,NCDC,45,22,33.5,31.5,0,0,0,0
KROC,3-21-11,NCDC,50,37,43.5,21.5,0,0.44,1.00E-03,0
KROC,3-22-11,NCDC,42,32,37,28,0,1.00E-04,1.00E-03,0
KROC,3-23-11,NCDC,32,25,28.5,36.5,0,0.41,6.3,0
KROC,3-24-11,NCDC,33,24,28.5,36.5,0,1.00E-04,0.5,5
KROC,3-25-11,NCDC,29,18,23.5,41.5,0,1.00E-04,0.1,3
KROC,3-26-11,NCDC,29,15,22,43,0,1.00E-04,1.00E-03,2
KROC,3-27-11,NCDC,30,18,24,41,0,0,0,1
KROC,3-28-11,NCDC,35,19,27,38,0,0,0,0
KROC,3-29-11,NCDC,43,23,33,32,0,0,0,0
KROC,3-30-11,NCDC,47,24,35.5,29.5,0,0.04,1.00E-03,0
KROC,3-31-11,NCDC,41,33,37,28,0,0.18,0.2,0
KROC,04-01-11,NCDC,43,34,38.5,26.5,0,0.03,1.00E-03,0
KROC,04-02-11,NCDC,52,32,42,23,0,0,0,0
KROC,04-03-11,NCDC,51,33,42,23,0,0.11,0,0
KROC,04-04-11,NCDC,66,38,52,13,0,0.34,0,0
KROC,04-05-11,NCDC,46,32,39,26,0,0.07,1.00E-03,0
KROC,04-06-11,NCDC,44,30,37,28,0,0.01,0,0
KROC,04-07-11,NCDC,51,29,40,25,0,0,0,0
KROC,04-08-11,NCDC,52,32,42,23,0,0,0,0
KROC,04-09-11,NCDC,62,32,47,18,0,0,0,0
KROC,04-10-11,NCDC,74,42,58,7,0,1.00E-04,0,0
KROC,04-11-11,NCDC,80,48,64,1,0,1.00E-04,0,0
KROC,04-12-11,NCDC,51,41,46,19,0,1.00E-04,0,0
KROC,4-13-11,NCDC,48,40,44,21,0,0.9,0,0
KROC,4-14-11,NCDC,53,36,44.5,20.5,0,0,0,0
KROC,4-15-11,NCDC,44,32,38,27,0,0,0,0
KROC,4-16-11,NCDC,51,38,44.5,20.5,0,0.52,0,0
KROC,4-17-11,NCDC,49,34,41.5,23.5,0,0.04,1.00E-03,0
KROC,4-18-11,NCDC,38,32,35,30,0,0.08,1.00E-03,0
KROC,4-19-11,NCDC,41,31,36,29,0,0.11,0,0
KROC,4-20-11,NCDC,63,39,51,14,0,1.41,0,0
KROC,4-21-11,NCDC,44,31,37.5,27.5,0,1.00E-04,1.00E-03,0
KROC,4-22-11,NCDC,51,30,40.5,24.5,0,0.06,0,0
KROC,4-23-11,NCDC,70,41,55.5,9.5,0,0.6,0,0
KROC,4-24-11,NCDC,51,42,46.5,18.5,0,1.00E-04,0,0
KROC,4-25-11,NCDC,58,42,50,15,0,0.88,0,0
KROC,4-26-11,NCDC,70,44,57,8,0,0.25,0,0
KROC,4-27-11,NCDC,81,55,68,0,3,0.4,0,0
KROC,4-28-11,NCDC,71,48,59.5,5.5,0,1.00E-04,0,0
KROC,4-29-11,NCDC,50,43,46.5,18.5,0,1.00E-04,0,0
KROC,4-30-11,NCDC,60,37,48.5,16.5,0,1.00E-04,0,0
KROC,05-01-11,NCDC,67,49,58,7,0,1.00E-04,0,0
KROC,05-02-11,NCDC,63,48,55.5,9.5,0,0.1,0,0
KROC,05-03-11,NCDC,48,41,44.5,20.5,0,0.73,0,0
